1,nächster,f
2,verschieden,f
3,zahlreich,f
4,jung,f
5,anderer,f
6,stehend,f
7,friedlich,f
8,schwierig,f
9,derartig,f
10,gemeinsam,f
11,erster,f
12,vereinigt,f
13,französisch,f
14,gesamt,f
15,ganz,f
16,konstitutionell,f
17,letzter,f
18,vergangen,f
19,juristisch,f
20,wichtig,f
21,gut,f
22,neu,f
23,finnisch,f
24,portugiesisch,f
25,niederländisch,f
26,einzig,f
27,groß,f
28,bestimmt,f
29,spanisch,f
30,zuständig,f
31,vorangegangen,f
32,lieb,f
33,deutlich,f
34,heutig,f
35,entsprechend,f
36,endgültig,f
37,sozialdemokratisch,f
38,strategisch,f
39,politisch,f
40,legislativ,f
41,zweiter,f
42,mündlich,f
43,langfristig,f
44,vernünftig,f
45,sozialistisch,f
46,weit,f
47,klar,f
48,eindeutig,f
49,früh,f
50,eigen,f
51,zusätzlich,f
52,lang,f
53,übrig,f
54,gefährlich,f
55,verehrt,f
56,national,f
57,hoch,f
58,gering,f
59,kompliziert,f
60,angenommen,f
61,spezifisch,f
62,sonstig,f
63,klein,f
64,finanziell,f
65,einzeln,f
66,vorliegend,f
67,ausgezeichnet,f
68,wesentlich,f
69,gewiß,f
70,international,f
71,kommend,f
72,besonderer,f
73,belgisch,f
74,ernst,f
75,1.,f
76,eigentlich,f
77,angemessen,f
78,zunehmend,f
79,einheitlich,f
80,verbindlich,f
81,technisch,f
82,dritter,f
83,konstruktiv,f
84,bestehend,f
85,vorgeschlagen,f
86,kurz,f
87,sensibel,f
88,echt,f
89,vorrangig,f
90,effektiv,f
91,streng,f
92,aktuell,f
93,verstärkt,f
94,geehrt,f
95,niedrig,f
96,gemeinschaftlich,f
97,positiv,f
98,möglich,f
99,funktionierend,f
100,vereint,f
101,einfach,f
102,notwendig,f
103,geltend,f
104,unterschiedlich,f
105,konkret,f
106,gleich,f
107,stark,f
108,parlamentarisch,f
109,beträchtlich,f
110,gewaltig,f
111,wirtschaftlich,f
112,britisch,f
113,privat,f
114,wissenschaftlich,f
115,staatlich,f
116,arm,f
117,erneuerbar,f
118,geleistet,f
119,sozial,f
120,lokal,f
121,potentiell,f
122,genannt,f
123,umfassend,f
124,ländlich,f
125,fehlend,f
126,grundlegend,f
127,allgemein,f
128,ausgewogen,f
129,optimal,f
130,regional,f
131,schnell,f
132,wirksam,f
133,wirklich,f
134,mittlerer,f
135,öffentlich,f
136,gesellschaftlich,f
137,umfangreich,f
138,zentral,f
139,betreffend,f
140,nachhaltig,f
141,bürokratisch,f
142,halb,f
143,persönlich,f
144,breit,f
145,flexibel,f
146,erfolgreich,f
147,praktisch,f
148,interessant,f
149,entwickelt,f
150,negativ,f
151,ausreichend,f
152,vorgelegt,f
153,enthalten,f
154,integriert,f
155,städtisch,f
156,jeweilig,f
157,festgelegt,f
158,äußerer,f
159,frei,f
160,bedeutend,f
161,alt,f
162,laufend,f
163,ein,f
164,unmittelbar,f
165,grundsätzlich,f
166,geographisch,f
167,vorhanden,f
168,territorial,f
169,ordnungsgemäß,f
170,gewählt,f
171,verbunden,f
172,riesig,f
173,entscheidend,f
174,benachteiligt,f
175,bisherig,f
176,enorm,f
177,diesbezüglich,f
178,mittelständisch,f
179,innovativ,f
180,wachsend,f
181,griechisch,f
182,richtig,f
183,derzeitig,f
184,effizient,f
185,schwerwiegend,f
186,reich,f
187,menschlich,f
188,sogenannter,f
189,doppelt,f
190,betroffen,f
191,periodisch,f
192,real,f
193,amsterdamer,f
194,global,f
195,technologisch,f
196,wertvoll,f
197,tiefgreifend,f
198,modern,f
199,aktiv,f
200,historisch,f
201,speziell,f
202,geeignet,f
203,künftig,f
204,genau,f
205,kritisch,f
206,gerecht,f
207,angekündigt,f
208,ehrgeizig,f
209,folgend,f
210,voll,f
211,gegenseitig,f
212,schlecht,f
213,jetzig,f
214,ökonomisch,f
215,rein,f
216,offen,f
217,rechtlich,f
218,deutsch,f
219,knapp,f
220,kurzfristig,f
221,liberal,f
222,dänisch,f
223,bevorstehend,f
224,ökologisch,f
225,einzelstaatlich,f
226,gegenwärtig,f
227,uneingeschränkt,f
228,italienisch,f
229,vorgesehen,f
230,kulturell,f
231,extern,f
232,intern,f
233,erforderlich,f
234,tief,f
235,gegeben,f
236,unabhängig,f
237,schwer,f
238,direkt,f
239,vollständig,f
240,erwähnt,f
241,weltweit,f
242,erheblich,f
243,englisch,f
244,interinstitutionell,f
245,sicher,f
246,hervorragend,f
247,institutionell,f
248,strafrechtlich,f
249,organisiert,f
250,transnational,f
251,innerer,f
252,befindlich,f
253,zukünftig,f
254,qualifiziert,f
255,demokratisch,f
256,vorherig,f
257,interregional,f
258,förderfähig,f
259,3.,f
260,nah,f
261,ähnlich,f
262,österreichisch,f
263,nuklear,f
264,abgereichert,f
265,grenzüberschreitend,f
266,ethnisch,f
267,amtierend,f
268,14.,f
269,palästinensisch,f
270,dauerhaft,f
271,israelisch,f
272,arabisch,f
273,anhaltend,f
274,rassistisch,f
275,spekulativ,f
276,extrem,f
277,fremdenfeindlich,f
278,erst,f
279,amsterdam,f
